,lx,ly,lconfidence
0,164.821,147.911,0.284611
0,170.024,138.195,0.415804
0,179.097,135.588,0.287449
0,169.353,142.714,0.424713
0,175.196,139.486,0.521604
0,166.117,142.738,0.235732
0,49.8784,160.259,0.113559
0,158.965,153.765,0.261235
0,169.354,140.786,0.382916
0,164.153,149.883,0.300639
0,171.964,150.529,0.33683
0,175.221,140.788,0.563613
0,0.0,0.0,0.0
0,29.0574,140.789,0.152724
0,0.0,0.0,0.0
0,148.589,163.49,0.493277
0,174.562,138.191,0.424425
0,184.296,141.434,0.624391
0,181.699,136.892,0.537339
0,0.0,0.0,0.0
0,169.363,138.196,0.596353
0,171.312,142.726,0.418571
0,168.062,155.712,0.227262
0,174.572,136.874,0.558872
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,171.952,143.37,0.285147
0,0.0,0.0,0.0
0,175.211,139.484,0.407891
0,167.402,135.592,0.269533
0,179.094,136.233,0.401159
0,165.462,142.741,0.365203
0,0.0,0.0,0.0
0,174.545,138.833,0.44911
0,148.585,163.515,0.274007
0,157.028,157.662,0.31002
0,168.708,133.654,0.452719
0,145.988,173.251,0.396109
0,168.061,144.028,0.286203
0,44.0057,163.504,0.08807
0,158.988,141.43,0.173099
0,153.762,164.825,0.0679755
0,0.0,0.0,0.0
0,173.902,139.48,0.269732
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,180.398,134.299,0.368665
0,183.002,137.546,0.479744
0,183.002,138.176,0.356745
0,175.205,136.869,0.485832
0,173.892,138.199,0.519223
0,161.564,163.532,0.170735
0,0.0,0.0,0.0
0,171.961,142.079,0.216431
0,166.752,139.475,0.617862
0,179.769,138.172,0.669516
0,169.366,137.538,0.333689
0,165.457,152.474,0.0628855
0,168.698,136.228,0.18025
0,147.947,159.617,0.313314
0,182.986,138.214,0.603217
0,156.372,155.078,0.111807
0,163.507,152.466,0.0649371
0,173.249,138.197,0.52057
0,164.147,131.691,0.206297
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,179.087,138.835,0.617721
0,181.702,138.833,0.405446
0,179.743,137.543,0.551896
0,0.0,0.0,0.0
0,170.024,142.072,0.41107
0,164.186,142.74,0.285507
0,157.652,142.724,0.274616
0,164.164,142.083,0.249142
0,0.0,0.0,0.0
0,178.439,137.534,0.63664
0,179.09,139.482,0.345082
0,0.0,0.0,0.0
0,34.92,237.561,0.113887
0,164.163,147.929,0.149658
0,144.037,157.02,0.066317
0,141.43,159.607,0.065907
0,179.079,135.583,0.562222
0,164.816,164.821,0.0812307
0,170.0,145.979,0.347056
0,164.152,150.526,0.212412
0,161.564,147.92,0.127704
0,179.089,135.594,0.519634
0,0.0,0.0,0.0
0,165.459,142.731,0.194682
0,169.363,138.848,0.454171
0,0.0,0.0,0.0
0,169.343,142.069,0.544383
0,174.543,143.378,0.397258
0,165.455,152.475,0.331867
0,164.164,148.576,0.205515
0,173.254,142.085,0.466325
0,153.124,158.975,0.305818
0,174.548,140.774,0.513471
0,165.465,139.483,0.139249
0,164.172,137.531,0.137326
0,170.665,142.719,0.515923
0,180.406,136.895,0.299735
0,164.176,138.831,0.089083
0,177.793,136.877,0.487477
0,180.394,138.205,0.420675
0,172.609,140.789,0.404725
0,175.209,140.139,0.430166
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,179.096,138.182,0.455213
0,168.686,138.185,0.479692
0,179.758,138.827,0.673655
0,175.214,139.488,0.511604
0,150.522,166.11,0.131398
0,148.584,164.818,0.0971975
0,0.0,0.0,0.0
0,179.738,138.188,0.54408
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,168.047,134.938,0.502372
0,170.004,143.376,0.393643
0,47.9169,158.964,0.134854
0,168.717,143.381,0.269783
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,172.609,139.494,0.469595
0,177.792,137.527,0.275817
0,0.0,0.0,0.0
0,138.208,153.109,0.476522
0,49.8817,161.563,0.224606
0,163.529,147.282,0.180997
0,179.744,135.589,0.428223
0,142.715,152.451,0.387884
0,0.0,0.0,0.0
0,164.814,147.933,0.127885
0,173.906,138.843,0.415542
0,36.866,164.172,0.0809795
0,163.512,146.631,0.245088
0,0.0,0.0,0.0
0,169.379,137.553,0.516854
0,180.409,138.19,0.567656
0,0.0,0.0,0.0
0,177.152,138.838,0.422759
0,167.405,149.874,0.39852
0,0.0,0.0,0.0
0,161.56,158.314,0.0564226
0,166.12,149.223,0.112854
0,54.3969,158.339,0.271022
0,179.112,134.941,0.631897
0,161.568,132.343,0.112321
0,177.802,138.196,0.380236
0,168.699,139.491,0.402322
0,168.05,144.673,0.409617
0,33.6021,237.565,0.0531357
0,165.469,139.482,0.404989
0,167.402,147.917,0.18665
0,154.418,163.49,0.288434
0,174.561,142.734,0.268772
0,0.0,0.0,0.0
0,30.371,137.514,0.605791
0,175.212,140.774,0.509383
0,159.624,147.27,0.362114
0,184.944,138.188,0.51958
0,164.164,148.589,0.299061
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,153.761,179.106,0.0979038
0,168.044,142.714,0.46487
0,173.253,142.065,0.525831
0,173.256,140.136,0.485985
0,164.822,137.537,0.360443
0,0.0,0.0,0.0
0,170.017,141.437,0.0781863
0,168.692,137.538,0.258843
0,169.347,142.719,0.488846
0,165.477,142.728,0.468037
0,180.396,137.508,0.648787
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,184.304,120.007,0.111238
0,184.936,138.207,0.611576
0,166.77,133.64,0.0752645
0,179.756,136.231,0.362798
0,179.116,137.531,0.691545
0,0.0,0.0,0.0
0,179.75,136.88,0.597915
0,179.092,137.542,0.620078
0,169.353,134.296,0.423487
0,173.9,144.678,0.188599
0,175.851,138.209,0.495109
0,179.093,135.587,0.551796
0,176.499,142.076,0.22303
0,165.469,144.677,0.168311
0,164.18,145.979,0.319237
0,168.048,144.036,0.284693
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,163.503,140.784,0.398411
0,0.0,0.0,0.0
0,169.351,142.724,0.286982
0,164.184,142.088,0.434854
0,0.0,0.0,0.0
0,168.72,136.245,0.515242
0,179.74,137.54,0.362379
0,174.572,141.427,0.580244
0,167.415,142.078,0.263065
0,168.72,146.633,0.157442
0,179.747,138.169,0.493929
0,179.107,138.198,0.350977
0,179.74,133.644,0.476565
0,183.646,137.529,0.564865
0,168.692,134.291,0.236024
0,0.0,0.0,0.0
0,174.557,140.786,0.312101
0,146.622,143.386,0.279284
0,0.0,0.0,0.0
0,172.598,145.328,0.461559
0,169.352,138.833,0.546343
0,169.363,143.386,0.0873498
0,179.757,136.88,0.564579
0,170.013,138.193,0.367523
0,164.169,142.083,0.0689218
0,163.525,145.33,0.170007
0,169.338,140.139,0.389653
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,164.156,145.98,0.154344
0,0.0,0.0,0.0
0,174.55,139.479,0.458833
0,0.0,0.0,0.0
0,184.282,145.322,0.247235
0,179.097,135.583,0.522618
0,171.952,138.189,0.426892
0,160.27,153.782,0.177101
0,170.001,137.519,0.559947
0,178.445,135.587,0.409498
0,0.0,0.0,0.0
0,168.721,142.724,0.325155
0,58.9284,168.718,0.0854424
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,169.362,147.928,0.463838
0,168.697,143.386,0.425523
0,173.881,137.529,0.501188
0,169.359,145.325,0.0673511
0,179.094,136.241,0.470609
0,174.557,141.44,0.346873
0,166.106,142.728,0.385592
0,168.716,144.025,0.302399
0,170.005,140.124,0.345158
0,144.027,158.98,0.100222
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,172.604,131.031,0.158749
0,175.218,140.143,0.546513
0,171.3,138.844,0.431914
0,170.016,144.03,0.379988
0,170.668,143.389,0.371781
0,0.0,0.0,0.0
0,163.512,162.219,0.074113
0,179.771,134.945,0.559902
0,0.0,0.0,0.0
0,50.5041,159.632,0.347913
0,168.698,146.625,0.267514
0,173.913,142.712,0.545142
0,143.354,132.979,0.66433
0,148.596,164.825,0.123121
0,142.089,144.044,0.786633
0,168.717,158.31,0.2276
0,179.735,138.208,0.547417
0,167.414,144.026,0.220034
0,164.817,151.818,0.0903895
0,179.764,137.53,0.51517
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,181.058,137.541,0.650578
0,29.7372,140.139,0.363949
0,170.018,143.376,0.340652
0,0.0,0.0,0.0
0,171.317,141.435,0.300947
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,168.06,142.717,0.267491
0,182.994,133.652,0.33052
0,46.6145,158.969,0.108205
0,182.351,134.949,0.538827
0,164.17,164.82,0.0643254
0,167.408,142.063,0.490837
0,182.988,118.707,0.129636
0,163.508,147.941,0.157856
0,164.171,146.63,0.162297
0,180.393,137.551,0.319601
0,0.0,0.0,0.0
0,170.003,142.723,0.272161
0,152.48,179.747,0.0795168
0,179.107,138.176,0.643008
0,174.553,141.427,0.396616
0,166.114,138.207,0.460939
0,160.919,157.012,0.174283
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,175.862,137.544,0.259638
0,0.0,0.0,0.0
0,179.729,138.832,0.695454
0,170.017,144.024,0.141775
0,49.8797,160.27,0.258744
0,179.113,138.212,0.659887
0,179.096,137.522,0.452772
0,0.0,0.0,0.0
0,164.821,153.119,0.283467
0,179.743,138.833,0.382259
0,169.352,142.084,0.361874
0,171.305,138.173,0.395462
0,33.6102,143.385,0.29404
0,0.0,0.0,0.0
0,182.352,138.165,0.715826
0,170.003,139.479,0.419939
0,0.0,0.0,0.0
0,179.744,136.24,0.390706
0,179.106,136.241,0.490025
0,0.0,0.0,0.0
0,168.059,143.389,0.330332
0,163.527,142.068,0.321931
0,163.524,142.083,0.249025
0,38.8134,230.407,0.238106
0,149.229,157.01,0.071265
0,174.548,136.887,0.30417
0,172.607,138.201,0.539166
0,168.699,147.921,0.489082
0,176.499,144.027,0.167373
0,181.049,135.581,0.51173
0,169.365,145.337,0.393685
0,158.305,145.333,0.132636
0,179.756,132.969,0.550588
0,180.408,127.141,0.18826
0,0.0,0.0,0.0
0,173.893,138.835,0.451901
0,45.9635,162.216,0.0544955
0,0.0,0.0,0.0
0,171.304,142.066,0.397229
0,168.7,135.587,0.585236
0,0.0,0.0,0.0
0,163.519,144.03,0.36255
0,156.375,185.594,0.125787
0,179.769,139.48,0.496399
0,182.997,116.752,0.217106
0,34.916,237.561,0.110669
0,0.0,0.0,0.0
0,164.813,153.772,0.0621903
0,179.766,134.933,0.546725
0,144.689,153.112,0.0817537
0,172.614,137.535,0.375818
0,29.0903,137.522,0.288271
0,177.803,138.186,0.617612
0,175.203,139.486,0.36578
0,179.099,134.284,0.344888
0,176.496,138.178,0.385507
0,32.3307,147.905,0.338806
0,180.406,135.583,0.369747
0,164.818,154.43,0.0927642
