,rx,ry,rconfidence
0,153.113,146.62,0.727371
0,153.138,139.495,0.77939
0,155.083,138.19,0.777259
0,156.362,137.54,0.737233
0,153.749,140.14,0.778918
0,151.169,145.336,0.704713
0,0.0,0.0,0.0
0,143.371,162.86,0.817504
0,153.093,142.705,0.783249
0,148.578,153.104,0.795581
0,140.782,189.471,0.427997
0,148.585,151.815,0.644669
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,137.518,173.899,0.775646
0,153.133,142.712,0.799902
0,154.434,137.556,0.780392
0,153.116,141.417,0.767385
0,180.398,121.932,0.409396
0,157.023,138.828,0.699379
0,152.457,142.738,0.76904
0,186.239,112.872,0.509726
0,163.507,122.583,0.698136
0,0.0,0.0,0.0
0,149.868,147.26,0.703083
0,153.13,140.787,0.721431
0,0.0,0.0,0.0
0,148.582,148.604,0.809487
0,164.806,132.335,0.683456
0,153.765,139.484,0.777942
0,155.082,138.16,0.727769
0,0.0,0.0,0.0
0,151.811,142.729,0.795849
0,176.504,123.251,0.362934
0,142.729,162.846,0.797574
0,163.527,132.338,0.68786
0,138.177,184.275,0.464176
0,153.766,142.715,0.743342
0,0.0,0.0,0.0
0,149.234,146.621,0.69631
0,179.078,122.584,0.470185
0,175.857,119.349,0.54812
0,151.819,143.414,0.738751
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,155.718,138.184,0.773088
0,153.751,141.423,0.73474
0,153.133,141.416,0.74179
0,158.313,129.75,0.636289
0,153.789,142.075,0.745838
0,138.179,176.5,0.62065
0,0.0,0.0,0.0
0,151.825,143.36,0.768674
0,160.266,136.873,0.685432
0,149.25,147.899,0.789395
0,153.76,144.019,0.722839
0,164.152,132.995,0.7627
0,164.156,129.102,0.675151
0,175.2,119.341,0.680025
0,147.919,151.183,0.778407
0,147.278,157.024,0.757527
0,151.827,143.367,0.706822
0,153.775,142.7,0.748458
0,155.733,137.53,0.679877
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,153.781,140.138,0.774555
0,149.219,152.467,0.811589
0,153.787,138.197,0.775907
0,0.0,0.0,0.0
0,152.457,143.41,0.779136
0,155.077,139.488,0.719483
0,155.725,137.541,0.692329
0,158.955,137.544,0.543994
0,0.0,0.0,0.0
0,152.465,142.727,0.776781
0,152.462,143.366,0.761229
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,157.656,138.855,0.639331
0,176.51,124.551,0.521064
0,176.499,127.145,0.620273
0,148.552,151.179,0.791114
0,149.22,147.904,0.802834
0,153.129,142.749,0.751956
0,148.553,154.419,0.820885
0,152.459,145.973,0.723839
0,151.82,143.361,0.768466
0,0.0,0.0,0.0
0,148.583,149.222,0.783328
0,155.085,137.541,0.720619
0,0.0,0.0,0.0
0,153.783,140.786,0.760633
0,153.105,142.089,0.737176
0,139.492,188.837,0.350872
0,166.125,126.489,0.653508
0,153.107,142.08,0.711037
0,142.748,164.826,0.796409
0,154.418,140.772,0.756788
0,158.296,138.202,0.71291
0,158.959,137.551,0.602204
0,151.184,141.434,0.701325
0,157.03,136.242,0.726287
0,158.972,137.552,0.607833
0,153.779,137.547,0.805655
0,153.13,142.752,0.766332
0,146.634,121.935,0.673212
0,148.591,148.579,0.802327
0,0.0,0.0,0.0
0,177.162,126.493,0.636239
